p_val avg_log2FC pct.1 pct.2 p_val_adj
LINC00486 0 2.2228129404809 0.79 0.474 0
MALAT1 0 1.39574805058346 0.982 0.954 0
FTH1 1.70985813418545e-227 1.90350942657991 0.757 0.529 6.25602894135772e-223
AL359091.1 1.3871263211719e-108 2.65678829018939 0.267 0.093 5.07521778390375e-104
AP003086.1 3.9180488326191e-106 2.64057541302315 0.257 0.102 1.43353570687868e-101
FTL 7.31746056236262e-95 1.70124889243916 0.471 0.337 2.67731247055723e-90
PCDH9-AS2 1.34942847636259e-93 2.09670445716122 0.333 0.177 4.93728890931545e-89
CRYAB 1.89700292212368e-80 2.40920868541658 0.25 0.126 6.94075429146613e-76
PTGDS 2.64213708329135e-78 1.3820384842043 0.568 0.402 9.6670511603464e-74
ABCA2 1.89770800684473e-66 1.71977639954817 0.382 0.284 6.9433340554435e-62
PLP1 9.37774551829802e-57 0.996172612655402 0.512 0.303 3.43112953023488e-52
RPS27 2.068743310564e-55 1.44004635617807 0.366 0.265 7.56911802469155e-51
ZNF565 2.59273423384057e-54 1.93545250308562 0.257 0.186 9.48629601477589e-50
TMSB4X 3.27265583602024e-51 1.19426233780197 0.474 0.379 1.19739931728309e-46
CTNNA3 4.53050194896679e-51 0.727103291135836 0.627 0.445 1.65762005308797e-46
CNP 7.15179111964311e-51 1.60376624567267 0.323 0.224 2.61669733485502e-46
RPL13A 1.57441939491084e-50 1.61062513996375 0.304 0.226 5.76048568209978e-46
EEF1A2 5.55638913386621e-48 -2.03827431979443 0.066 0.253 2.03297165629897e-43
CMIP 6.92457473107286e-47 -0.90971536190324 0.214 0.45 2.53356340260494e-42
LRP1B 1.13767789147821e-45 -0.560430692559173 0.542 0.752 4.16253586934046e-41
PDXDC1 1.78785109211342e-45 1.55326863938285 0.299 0.261 6.54138957582459e-41
FOXN3 2.25635022848522e-44 -0.948245895681298 0.29 0.527 8.25553421598172e-40
CTNND2 7.323672155018e-44 -0.741027639442771 0.54 0.725 2.67958516807799e-39
GNAO1 9.17876447254061e-44 -0.588077445292115 0.342 0.587 3.35832634521316e-39
MSI2 5.80975690648808e-43 -1.00325120855524 0.268 0.512 2.12567385694586e-38
SCD 1.01814111110153e-42 1.41076928973229 0.316 0.228 3.72517469729828e-38
ELAVL3 3.4388981028174e-42 -0.710581106146031 0.218 0.457 1.25822403785883e-37
CELF2 1.34550410924273e-41 -0.510254815134167 0.446 0.669 4.92293043489731e-37
PRKCA 1.56722740072386e-41 -0.905012235571906 0.335 0.55 5.73417161376846e-37
KANSL1 2.73658881050654e-40 -0.633838316235842 0.344 0.571 1.00126311398813e-35
ADGRL3 1.32243159034748e-39 -0.565647793905057 0.519 0.711 4.83851270276335e-35
RPL21 2.41154142468414e-39 1.51872787823579 0.267 0.205 8.82334776463433e-35
NRXN1 3.89678325920597e-39 -0.781646678313141 0.515 0.701 1.42575505887828e-34
ABR 1.65616735753372e-38 -0.884086890204077 0.221 0.449 6.05958512774436e-34
ST18 1.503847657881e-37 0.758603902690516 0.454 0.272 5.50227781065499e-33
MAPT 2.53319747700291e-37 -0.528798559518997 0.333 0.554 9.26846292885824e-33
GRK3 5.31336719179553e-37 -0.98773122766454 0.191 0.384 1.94405478813415e-32
TIAM2 8.80844248012086e-37 -0.844661756510488 0.163 0.377 3.22283293462662e-32
GNB1 1.17199020809117e-36 -0.59296288282821 0.27 0.505 4.28807777336397e-32
LINC00609 4.54182776161181e-36 1.09255900476569 0.347 0.228 1.66176394141853e-31
