From	To	Species	Gene Name
ITSN2	50618	Homo sapiens	intersectin 2(ITSN2)
SCOC	60592	Homo sapiens	short coiled-coil protein(SCOC)
IFT172	26160	Homo sapiens	intraflagellar transport 172(IFT172)
ITSN1	6453	Homo sapiens	intersectin 1(ITSN1)
PTPDC1	138639	Homo sapiens	protein tyrosine phosphatase domain containing 1(PTPDC1)
ALKBH5	54890	Homo sapiens	alkB homolog 5, RNA demethylase(ALKBH5)
SCP2	6342	Homo sapiens	sterol carrier protein 2(SCP2)
DPYSL5	56896	Homo sapiens	dihydropyrimidinase like 5(DPYSL5)
DPYSL2	1808	Homo sapiens	dihydropyrimidinase like 2(DPYSL2)
ZC3H12B	340554	Homo sapiens	zinc finger CCCH-type containing 12B(ZC3H12B)
FAM110B	90362	Homo sapiens	family with sequence similarity 110 member B(FAM110B)
FGFR1OP2	26127	Homo sapiens	FGFR1 oncogene partner 2(FGFR1OP2)
GPBP1	65056	Homo sapiens	GC-rich promoter binding protein 1(GPBP1)
PWWP2A	114825	Homo sapiens	PWWP domain containing 2A(PWWP2A)
CKMT1B	1159	Homo sapiens	creatine kinase, mitochondrial 1B(CKMT1B)
ANKFY1	51479	Homo sapiens	ankyrin repeat and FYVE domain containing 1(ANKFY1)
BBX	56987	Homo sapiens	BBX high mobility group box domain containing(BBX)
PRKACA	5566	Homo sapiens	protein kinase cAMP-activated catalytic subunit alpha(PRKACA)
PRKACB	5567	Homo sapiens	protein kinase cAMP-activated catalytic subunit beta(PRKACB)
FNBP4	23360	Homo sapiens	formin binding protein 4(FNBP4)
CXADR	1525	Homo sapiens	CXADR Ig-like cell adhesion molecule(CXADR)
UNC5A	90249	Homo sapiens	unc-5 netrin receptor A(UNC5A)
FNBP1	23048	Homo sapiens	formin binding protein 1(FNBP1)
CACNA2D1	781	Homo sapiens	calcium voltage-gated channel auxiliary subunit alpha2delta 1(CACNA2D1)
SECISBP2	79048	Homo sapiens	SECIS binding protein 2(SECISBP2)
CACNA2D3	55799	Homo sapiens	calcium voltage-gated channel auxiliary subunit alpha2delta 3(CACNA2D3)
RC3H1	149041	Homo sapiens	ring finger and CCCH-type domains 1(RC3H1)
ZNF10	7556	Homo sapiens	zinc finger protein 10(ZNF10)
UNC5C	8633	Homo sapiens	unc-5 netrin receptor C(UNC5C)
UNC5D	137970	Homo sapiens	unc-5 netrin receptor D(UNC5D)
RC3H2	54542	Homo sapiens	ring finger and CCCH-type domains 2(RC3H2)
BCR	613	Homo sapiens	BCR activator of RhoGEF and GTPase(BCR)
LARS2	23395	Homo sapiens	leucyl-tRNA synthetase 2, mitochondrial(LARS2)
EWSR1	2130	Homo sapiens	EWS RNA binding protein 1(EWSR1)
FEZ1	9638	Homo sapiens	fasciculation and elongation protein zeta 1(FEZ1)
FEZ2	9637	Homo sapiens	fasciculation and elongation protein zeta 2(FEZ2)
TXNIP	10628	Homo sapiens	thioredoxin interacting protein(TXNIP)
VOPP1	81552	Homo sapiens	VOPP1 WW domain binding protein(VOPP1)
CLOCK	9575	Homo sapiens	clock circadian regulator(CLOCK)
OPTN	10133	Homo sapiens	optineurin(OPTN)
PLBD2	196463	Homo sapiens	phospholipase B domain containing 2(PLBD2)
SF1	7536	Homo sapiens	splicing factor 1(SF1)
URI1	8725	Homo sapiens	URI1 prefoldin like chaperone(URI1)
SET	6418	Homo sapiens	SET nuclear proto-oncogene(SET)
AASDH	132949	Homo sapiens	aminoadipate-semialdehyde dehydrogenase(AASDH)
FAXDC2	10826	Homo sapiens	fatty acid hydroxylase domain containing 2(FAXDC2)
NPRL3	8131	Homo sapiens	NPR3 like, GATOR1 complex subunit(NPRL3)
ZNF24	7572	Homo sapiens	zinc finger protein 24(ZNF24)
ZNF25	219749	Homo sapiens	zinc finger protein 25(ZNF25)
ADAMTS10	81794	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 10(ADAMTS10)
